Conv0 active,Conv0 num filters,Conv0 batch normalization,Conv0 activation,Conv0 dropout,Conv0 max pooling,Conv1 active,Conv1 num filters,Conv1 batch normalization,Conv1 activation,Conv1 dropout,Conv1 max pooling,Conv2 active,Conv2 num filters,Conv2 batch normalization,Conv2 activation,Conv2 dropout,Conv2 max pooling,Conv3 active,Conv3 num filters,Conv3 batch normalization,Conv3 activation,Conv3 dropout,Conv3 max pooling,Conv4 active,Conv4 num filters,Conv4 batch normalization,Conv4 activation,Conv4 dropout,Conv4 max pooling,Dense0 active,Dense0 num nodes,Dense0 batch normalization,Dense0 activation,Dense0 dropout,Dense1 active,Dense1 num nodes,Dense1 batch normalization,Dense1 activation,Dense1 dropout,Optimizer,Val Loss,Val Accuracy
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,1,0,64,1,0,7,2,1,64,1,0,3,0,1,128,1,0,6,0,32,1,0,10,2,0.992106293583,0.6464
1,32,0,0,1,1,0,8,0,0,2,0,0,32,1,0,1,1,0,64,1,0,7,2,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.08410971708,0.623
1,32,1,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,0,0,3,1,1.61604751854,0.4326
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,0,0,3,1,1.01684042339,0.652
1,8,0,0,1,1,1,8,1,0,4,2,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,32,1,0,3,1,128,0,0,0,2,1.20117213974,0.5714
1,64,0,0,7,0,0,32,0,0,8,2,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,0,64,0,0,5,1,512,1,0,3,1,0.980721580505,0.6654
1,32,0,0,1,2,1,16,0,0,9,0,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,1,64,1,0,6,1,256,1,0,4,1,1.04014503651,0.6428
1,32,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,4,0,1.11142704573,0.6013
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.12485423126,0.6227
1,16,1,0,3,1,0,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,0.962365507317,0.6638
1,16,1,0,3,1,0,16,1,0,4,1,0,16,0,0,4,2,0,32,1,0,7,2,0,16,0,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.31745440502,0.587
1,32,0,0,1,1,1,16,0,0,9,0,0,32,1,0,10,1,1,64,1,0,3,1,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.58654471912,0.4175
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,2,0,1,16,1,0,3,0,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.45551037846,0.5124
1,32,0,0,0,1,0,8,0,0,2,0,0,32,1,0,1,1,0,64,1,0,7,2,0,64,0,0,7,1,0,128,1,0,5,0,16,0,0,4,0,1.07651130199,0.6268
1,32,0,0,1,2,1,16,0,0,9,0,0,8,1,0,2,0,1,16,1,0,8,0,0,64,1,0,1,0,0,16,0,0,6,0,32,1,0,10,1,5.92493317413,0.2141
1,64,1,0,10,2,0,32,0,0,9,2,0,8,1,0,4,2,0,32,1,0,7,2,0,16,0,0,9,2,1,32,1,0,3,1,512,0,0,3,1,1.69872991447,0.4371
1,32,0,0,1,1,1,8,0,0,2,0,0,32,1,0,1,2,0,64,1,0,7,2,0,64,1,0,8,1,0,64,0,0,5,1,512,1,0,3,1,1.00036628761,0.66
